section,cell,book,iv,tenor_td,strike_off,delta_trig,budget,total_ret,max_dd,win_rate,final_equity,total_pl,n_converted,n_worthless
grid,3mo/OTM5/d85/7%/IV60,OPTION,0.6,63,0.05,0.85,0.07,0.3981,-0.0656,0.4133,908755,258755,46,29
grid,3mo/ATM/d85/7%/IV60,OPTION,0.6,63,0.0,0.85,0.07,0.3954,-0.0595,0.4267,907021,257021,53,22
grid,3mo/ITM5/d90/7%/IV60,OPTION,0.6,63,-0.05,0.9,0.07,0.39,-0.0505,0.48,903530,253530,56,19
grid,3mo/ATM/d90/7%/IV60,OPTION,0.6,63,0.0,0.9,0.07,0.3884,-0.0656,0.4133,902451,252451,51,24
grid,4mo/OTM5/d90/7%/IV60,OPTION,0.6,84,0.05,0.9,0.07,0.387,-0.0634,0.4533,901525,251525,49,26
grid,4mo/ITM5/d80/14%/IV60,OPTION,0.6,84,-0.05,0.8,0.14,0.3864,-0.1273,0.4267,901166,251166,57,18
grid,4mo/ITM5/d80/7%/IV40,OPTION,0.4,84,-0.05,0.8,0.07,0.3839,-0.0513,0.44,899522,249522,62,13
grid,9mo/ATM/d90/14%/IV60,OPTION,0.6,189,0.0,0.9,0.14,0.3741,-0.0571,0.4933,893141,243141,51,24
grid,4mo/OTM5/d80/7%/IV60,OPTION,0.6,84,0.05,0.8,0.07,0.368,-0.0617,0.44,889205,239205,52,23
grid,4mo/OTM5/d85/7%/IV60,OPTION,0.6,84,0.05,0.85,0.07,0.366,-0.0634,0.44,887922,237922,49,26
grid,4mo/ITM5/d90/7%/IV60,OPTION,0.6,84,-0.05,0.9,0.07,0.3613,-0.0575,0.48,884864,234864,53,22
grid,2mo/ITM5/d80/14%/IV80,OPTION,0.8,42,-0.05,0.8,0.14,0.3609,-0.1112,0.3867,884607,234607,56,19
grid,3mo/ITM5/d85/7%/IV60,OPTION,0.6,63,-0.05,0.85,0.07,0.3577,-0.0523,0.4533,882477,232477,58,17
grid,4mo/ITM5/d85/7%/IV60,OPTION,0.6,84,-0.05,0.85,0.07,0.3563,-0.0591,0.48,881604,231604,56,19
grid,2mo/ITM5/d85/7%/IV60,OPTION,0.6,42,-0.05,0.85,0.07,0.354,-0.0487,0.4267,880113,230113,56,19
grid,6mo/OTM5/d90/7%/IV60,OPTION,0.6,126,0.05,0.9,0.07,0.3526,-0.044,0.5333,879176,229176,51,24
grid,4mo/ATM/d90/7%/IV60,OPTION,0.6,84,0.0,0.9,0.07,0.3514,-0.0588,0.4533,878381,228381,51,24
grid,4mo/ATM/d85/7%/IV60,OPTION,0.6,84,0.0,0.85,0.07,0.3511,-0.061,0.44,878196,228196,52,23
grid,3mo/ATM/d85/14%/IV80,OPTION,0.8,63,0.0,0.85,0.14,0.351,-0.124,0.4,878126,228126,51,24
grid,6mo/ATM/d90/7%/IV60,OPTION,0.6,126,0.0,0.9,0.07,0.3508,-0.0355,0.52,878028,228028,54,21
grid,3mo/ATM/d80/14%/IV80,OPTION,0.8,63,0.0,0.8,0.14,0.3488,-0.1258,0.4,876713,226713,53,22
grid,2mo/ITM5/d80/7%/IV60,OPTION,0.6,42,-0.05,0.8,0.07,0.348,-0.05,0.4267,876188,226188,58,17
grid,3mo/ITM5/d80/14%/IV80,OPTION,0.8,63,-0.05,0.8,0.14,0.3477,-0.1148,0.4,875999,225999,58,17
grid,3mo/ATM/d90/14%/IV80,OPTION,0.8,63,0.0,0.9,0.14,0.3469,-0.1214,0.4,875457,225457,50,25
grid,4mo/ATM/d80/7%/IV60,OPTION,0.6,84,0.0,0.8,0.07,0.3441,-0.0656,0.44,873669,223669,55,20
grid,6mo/ATM/d85/7%/IV60,OPTION,0.6,126,0.0,0.85,0.07,0.344,-0.032,0.52,873592,223592,55,20
grid,9mo/ITM5/d80/14%/IV60,OPTION,0.6,189,-0.05,0.8,0.14,0.3436,-0.0581,0.48,873318,223318,60,15
grid,6mo/ITM5/d90/7%/IV60,OPTION,0.6,126,-0.05,0.9,0.07,0.3404,-0.0366,0.5333,871291,221291,59,16
grid,4mo/ATM/d90/14%/IV80,OPTION,0.8,84,0.0,0.9,0.14,0.3401,-0.1279,0.4667,871044,221044,51,24
grid,3mo/OTM5/d90/14%/IV80,OPTION,0.8,63,0.05,0.9,0.14,0.3366,-0.1321,0.3867,868819,218819,45,30
grid,3mo/OTM5/d85/14%/IV80,OPTION,0.8,63,0.05,0.85,0.14,0.3353,-0.1321,0.3867,867953,217953,45,30
grid,6mo/ITM5/d85/7%/IV60,OPTION,0.6,126,-0.05,0.85,0.07,0.3332,-0.0441,0.5067,866572,216572,59,16
grid,6mo/ATM/d80/7%/IV60,OPTION,0.6,126,0.0,0.8,0.07,0.3309,-0.0434,0.4933,865091,215091,59,16
grid,6mo/ITM5/d80/7%/IV60,OPTION,0.6,126,-0.05,0.8,0.07,0.3297,-0.0442,0.4933,864287,214287,62,13
grid,3mo/OTM5/d80/14%/IV80,OPTION,0.8,63,0.05,0.8,0.14,0.3278,-0.1347,0.3867,863081,213081,46,29
grid,9mo/ATM/d85/14%/IV60,OPTION,0.6,189,0.0,0.85,0.14,0.3258,-0.0549,0.4933,861743,211743,52,23
grid,4mo/ITM5/d85/14%/IV80,OPTION,0.8,84,-0.05,0.85,0.14,0.3251,-0.1069,0.44,861283,211283,53,22
grid,2mo/OTM5/d80/7%/IV80,OPTION,0.8,42,0.05,0.8,0.07,0.325,-0.0637,0.3733,861235,211235,47,28
grid,9mo/ITM5/d80/7%/IV40,OPTION,0.4,189,-0.05,0.8,0.07,0.3248,-0.0398,0.4533,861143,211143,62,13
grid,2mo/OTM5/d90/7%/IV80,OPTION,0.8,42,0.05,0.9,0.07,0.3248,-0.0715,0.36,861109,211109,44,31
grid,2mo/OTM5/d85/7%/IV80,OPTION,0.8,42,0.05,0.85,0.07,0.3218,-0.0715,0.36,859155,209155,44,31
grid,3mo/ITM5/d80/7%/IV60,OPTION,0.6,63,-0.05,0.8,0.07,0.3203,-0.0607,0.44,858166,208166,60,15
