section,portfolio,span,total_ret,cagr,max_dd,win_rate,n_trades,final_equity
headline,machine_timing,2018-12-03..2026-07-01,0.8569,0.0851,-0.1951,0.4416,231,1207001
headline,machine_no_timing,2018-12-03..2026-07-01,3.2446,0.2103,-0.1597,0.4379,354,2759013
headline,naive_buy_all,2018-12-03..2026-07-01,2.3976,0.1752,-0.1271,0.4706,170,2208426
headline,his_book_2023H2_2026,2023-06..2026-06,,,-0.1379,0.3305,118,723818

peryear,portfolio,year,n,wins,pl
peryear,machine_timing,2019,38,13,-10081
peryear,machine_timing,2020,32,18,113903
peryear,machine_timing,2021,38,21,147659
peryear,machine_timing,2022,4,4,45806
peryear,machine_timing,2024,38,19,240748
peryear,machine_timing,2025,48,13,-167788
peryear,machine_timing,2026H1,33,14,186755
peryear,machine_no_timing,2019,42,13,60369
peryear,machine_no_timing,2020,47,22,200122
peryear,machine_no_timing,2021,48,29,595516
peryear,machine_no_timing,2022,73,27,-113953
peryear,machine_no_timing,2023,11,5,42503
peryear,machine_no_timing,2024,37,21,645608
peryear,machine_no_timing,2025,64,21,-43686
peryear,machine_no_timing,2026H1,32,17,722533
peryear,naive_buy_all,2019,29,15,120708
peryear,naive_buy_all,2020,28,13,80061
peryear,naive_buy_all,2021,22,12,530148
peryear,naive_buy_all,2022,3,2,8857
peryear,naive_buy_all,2024,35,13,417599
peryear,naive_buy_all,2025,30,11,-24419
peryear,naive_buy_all,2026H1,23,14,425472
peryear,his_book,2023,12,2,-36632
peryear,his_book,2024,40,17,71198
peryear,his_book,2025,44,16,147627
peryear,his_book,2026H1,22,4,-108375

overlap,machine_entries,354
overlap,machine_names,275
overlap,his_bought_names,98
overlap,name_overlap,33
overlap,timing_overlap_pm30d,11
overlap,diverged_names,242

machine_trade,symbol,entry_date,entry_px,pivot,pattern,exit_date,exit_ret
trade,AYI,2021-12-02,189.26,189.26,,2022-01-10,0.0813
trade,AAPL,2024-01-02,182.44,182.44,,2024-01-31,0.0107
trade,DBX,2024-01-02,28.42,28.42,,2024-02-16,-0.1175
trade,WIRE,2024-01-02,219.1,219.1,,2024-03-12,-0.0031
trade,NFLX,2024-01-02,48.44,48.44,,2024-04-19,0.1457
trade,NVDA,2024-01-02,47.71,47.71,,2024-04-19,0.5971
trade,MSI,2024-01-02,298.49,298.49,,2024-12-16,0.5654
trade,RMBS,2024-01-03,62.03,62.03,,2024-02-06,-0.1091
trade,FRO,2024-02-01,23.05,23.05,,2024-02-02,-0.07
trade,BRZE,2024-02-05,56.03,56.03,,2024-03-05,-0.0659
trade,APP,2024-02-07,47.14,47.14,,2024-06-13,0.6048
trade,CELH,2024-02-20,62.15,62.15,,2024-04-15,0.1825
trade,ATKR,2024-03-06,159.67,159.67,,2024-05-07,-0.0334
trade,PATH,2024-03-12,24.7,24.7,,2024-03-14,-0.07
trade,SITE,2024-03-15,164.06,164.06,,2024-04-15,0.0143
trade,HUBS,2024-04-15,637.87,637.87,,2024-04-30,-0.0517
trade,ACT,2024-04-15,29.59,29.59,,2024-06-07,0.0088
trade,OSCR,2024-05-06,18.79,18.79,,2024-06-20,-0.0399
trade,ATKR,2024-05-07,159.67,159.67,,2024-05-29,-0.07
trade,GPK,2024-05-13,28.24,28.24,,2024-05-29,-0.0372
trade,CLS,2024-05-20,51.22,51.22,,2024-07-24,0.0424
trade,PDD,2024-05-29,148.4,148.4,,2024-06-27,-0.1109
trade,BPMC,2024-05-29,97.1,97.1,,2024-08-01,0.0329
trade,NHC,2024-06-10,101.91,101.91,,2024-09-09,0.19
trade,NSSC,2024-06-17,53.2,53.2,,2024-08-05,-0.0451
trade,KRYS,2024-06-20,164.84,164.84,,2024-08-05,0.0963
trade,AMZN,2024-07-01,191.8,191.8,,2024-07-18,-0.042
trade,ELF,2024-07-18,171.61,171.61,,2024-08-02,-0.07
trade,RSG,2024-07-24,189.98,189.98,,2024-10-25,0.0518
trade,TRN,2024-08-01,34.34,34.34,,2024-09-06,-0.0958
trade,EXR,2024-08-02,152.66,152.66,,2024-10-17,0.1138
trade,AVNT,2024-08-26,47.47,47.47,,2024-10-31,-0.0181
trade,AAON,2024-09-03,92.98,92.98,,2024-12-26,0.3194
trade,TGTX,2024-09-09,23.22,23.22,,2024-10-07,-0.0823
trade,CRH,2024-09-09,80.63,80.63,,2024-12-18,0.1622
trade,EXP,2024-10-07,276.71,276.71,,2024-12-09,0.0299
trade,NVDA,2024-10-17,140.86,140.86,,2024-12-10,-0.0411
trade,APH,2024-10-28,67.17,67.17,,2024-12-30,0.0347
trade,AMSC,2024-10-31,25.01,25.01,,2024-12-10,0.0812
trade,AAPL,2024-12-09,237.59,237.59,,2025-01-14,-0.0181
trade,COCO,2024-12-11,37.3,37.3,,2025-01-06,-0.0828
trade,DECK,2024-12-16,208.55,208.55,,2025-01-31,-0.1496
