year,symbol,entry_px,exit_px,buy_date,sell_date,actual_ret,breached,max_drawdown_below_entry,hardstop_ret,delta_dollar,classification,flag
2025,WAY,40.4371,37.7550,2025-05-05,2025-06-20,-0.0663,True,-0.0792,-0.0700,-136.32,discretion HELPED,
2025,PLTR,123.7018,131.5050,2025-05-05,2025-07-01,0.0631,True,-0.1486,-0.0889,-7883.03,weathered storm to profit,
2025,HOOD,63.1950,90.7250,2025-05-19,2025-07-01,0.4356,False,-0.0089,0.4356,0.00,not breached,
2025,UBER,90.2548,90.0300,2025-05-12,2025-07-17,-0.0025,True,-0.0930,-0.0700,-3738.31,discretion HELPED,
2025,ROAD,113.0535,102.2018,2025-07-17,2025-07-22,-0.0960,True,-0.1133,-0.0700,1180.11,discretion HURT,
2025,QUBT,17.3398,14.1893,2025-07-23,2025-08-01,-0.1817,True,-0.1942,-0.0700,2546.31,discretion HURT,
2025,RBLX,74.7578,127.5148,2025-05-12,2025-08-01,0.7057,False,-0.0184,0.7057,0.00,not breached,
2025,TSSI,22.6519,19.2216,2025-06-06,2025-08-11,-0.1514,True,-0.2010,-0.0700,4099.25,discretion HURT,
2025,SMR,30.9268,36.8421,2025-05-23,2025-08-12,0.1913,False,-0.0484,0.1913,0.00,not breached,
2025,GEV,377.4220,610.8763,2025-04-24,2025-08-15,0.6185,False,-0.0543,0.6185,0.00,not breached,
2025,VRT,133.9833,123.9000,2025-08-28,2025-09-04,-0.0753,True,-0.1069,-0.0768,-69.11,discretion HELPED,
2025,HLI,198.8200,197.8846,2025-08-26,2025-10-06,-0.0047,False,-0.0460,-0.0047,0.00,not breached,
2025,ANET,141.4951,138.3228,2025-09-09,2025-10-14,-0.0224,False,-0.0333,-0.0224,0.00,not breached,
2025,OKLO,63.8587,152.2445,2025-07-16,2025-10-15,1.3841,True,-0.0780,-0.0700,-63332.88,weathered storm to profit,
2025,VRT,164.7227,166.7379,2025-10-08,2025-10-23,0.0122,False,-0.0124,0.0122,0.00,not breached,
2025,CRDO,92.2492,136.3041,2025-07-02,2025-10-23,0.4776,False,-0.0415,0.4776,0.00,not breached,
2025,NTGR,33.1152,29.8492,2025-10-24,2025-11-04,-0.0986,True,-0.1303,-0.0700,1592.13,discretion HURT,
2025,AMSC,39.7680,40.3175,2025-07-02,2025-11-06,0.0138,True,-0.0897,-0.0700,-4374.40,weathered storm to profit,
2025,RKLB,32.0253,51.1539,2025-06-09,2025-11-06,0.5973,True,-0.2119,-0.0767,-32884.64,weathered storm to profit,
2025,SYM,71.6674,65.9939,2025-10-27,2025-11-07,-0.0792,True,-0.0981,-0.0700,510.11,discretion HURT,
2025,TQQQ,104.6291,99.7341,2025-11-07,2025-11-14,-0.0468,False,-0.0560,-0.0468,0.00,not breached,
2025,APP,462.8461,529.3555,2025-08-26,2025-11-18,0.1437,False,-0.0229,0.1437,0.00,not breached,
2025,VRT,180.3300,154.2999,2025-11-20,2025-11-21,-0.1443,True,-0.1731,-0.1127,1585.40,discretion HURT,
2025,CCJ,79.4756,79.3433,2025-08-28,2025-11-21,-0.0017,True,-0.0790,-0.0700,-4899.55,discretion HELPED,
2026,URBN,82.1836,71.6000,2025-12-18,2026-01-12,-0.1288,True,-0.1446,-0.0700,3610.31,discretion HURT,
2026,APP,678.2649,603.7100,2025-12-04,2026-01-15,-0.1099,True,-0.1220,-0.0700,2446.18,discretion HURT,
2026,AAPL,271.3409,256.1920,2025-11-10,2026-01-16,-0.0558,False,-0.0605,-0.0558,0.00,not breached,
2026,TSLA,478.8470,423.5799,2025-12-15,2026-01-29,-0.1154,True,-0.1341,-0.0700,2811.22,discretion HURT,
2026,APH,145.6200,136.8199,2026-01-12,2026-02-04,-0.0604,True,-0.1115,-0.0700,-591.78,discretion HELPED,
2026,SEI,55.2073,51.3156,2026-01-13,2026-02-04,-0.0705,True,-0.1639,-0.0700,35.63,discretion HURT,
