year,symbol,entry,cost,actual_ret,fixed7_ret,fixed7_stopped,fixed7_stopdate,fixed8_ret,fixed8_stopped,fixed8_stopdate,V1_ret,V1_stopped,V1_stopdate,V2_ret,V2_stopped,V2_stopdate,V3_ret,V3_stopped,V3_stopdate,V3b_ret,V3b_stopped,V3b_stopdate,V3_note,data_src,split
2025,ONON,44.6988,56489,0.3366,0.3366,False,,0.3366,False,,0.3366,False,,0.0609,True,2024-10-31,0.3366,False,,0.3366,False,,ATR20=2.048 stop=40.602 (-9.2% below entry),tiingo_short,False
2025,AGX,169.9090,81463,-0.2015,-0.0710,True,2025-01-27,-0.0800,True,2025-01-27,-0.0710,True,2025-01-27,-0.1916,True,2025-01-27,-0.0977,True,2025-01-27,-0.1222,True,2025-01-27,ATR20=8.304 stop=153.301 (-9.8% below entry),tiingo_short,False
2025,TILE,18.7020,56487,0.2591,0.2591,False,,0.2591,False,,0.2591,False,,-0.0472,True,2024-10-29,0.2591,False,,0.2591,False,,ATR20=0.724 stop=17.254 (-7.7% below entry),tiingo_short,False
2025,TOST,42.5025,61070,-0.1001,-0.0700,True,2025-02-20,-0.0800,True,2025-02-20,-0.0700,True,2025-02-20,-0.1001,False,,-0.0808,True,2025-02-20,-0.1010,True,2025-02-20,ATR20=1.717 stop=39.069 (-8.1% below entry),tiingo_short,False
2025,AXON,701.3249,91657,-0.2419,-0.0700,True,2025-02-19,-0.0800,True,2025-02-19,-0.0700,True,2025-02-19,-0.0700,True,2025-02-19,-0.0574,True,2025-02-19,-0.0717,True,2025-02-19,ATR20=20.122 stop=661.080 (-5.7% below entry),tiingo_short,False
2025,GEV,368.5652,74439,-0.0218,-0.0786,True,2025-01-27,-0.0800,True,2025-01-27,-0.0786,True,2025-01-27,-0.1046,True,2025-01-27,-0.0786,True,2025-01-27,-0.0786,True,2025-01-27,ATR20=14.684 stop=339.198 (-8.0% below entry),tiingo_short,False
2025,OKLO,30.1783,37885,0.3176,-0.0808,True,2025-01-08,-0.0808,True,2025-01-08,-0.0808,True,2025-01-08,0.3176,False,,-0.1827,True,2025-01-10,-0.2283,True,2025-01-13,ATR20=2.756 stop=24.666 (-18.3% below entry),tiingo_short,False
2025,DKS,242.2693,61222,-0.0646,-0.0700,True,2025-02-21,-0.0800,True,2025-02-21,-0.0700,True,2025-02-21,-0.0728,True,2025-02-21,-0.0574,True,2025-02-21,-0.0717,True,2025-02-21,ATR20=6.952 stop=228.366 (-5.7% below entry),tiingo_short,False
2025,MSTR,208.1148,53695,0.3643,-0.0700,True,2024-10-16,-0.0800,True,2024-10-17,-0.0700,True,2024-10-16,-0.0700,True,2024-10-16,0.3643,False,,0.3643,False,,ATR20=14.695 stop=178.725 (-14.1% below entry),tiingo_short,False
2025,PSTG,67.3840,76287,-0.0596,,False,,,False,,,False,,,False,,,False,,,False,,no coverage,,False
2025,IBIT,45.4834,60411,0.0998,-0.1082,True,2024-10-29,-0.1082,True,2024-10-29,-0.1082,True,2024-10-29,-0.1082,True,2024-10-29,-0.1082,True,2024-10-29,-0.1082,True,2024-10-29,ATR20=1.450 stop=42.584 (-6.4% below entry),tiingo_short,False
2025,MTRX,13.8896,22621,-0.0986,-0.1353,True,2025-02-06,-0.1353,True,2025-02-06,-0.1353,True,2025-02-06,-0.0878,True,2025-02-27,-0.1353,True,2025-02-06,-0.1353,True,2025-02-06,ATR20=0.628 stop=12.633 (-9.0% below entry),tiingo_short,False
2025,FTNT,105.4763,46413,-0.1024,-0.0700,True,2025-03-07,-0.0800,True,2025-03-10,-0.0700,True,2025-03-07,-0.0895,True,2025-03-10,-0.0521,True,2025-03-07,-0.0652,True,2025-03-07,ATR20=2.749 stop=99.978 (-5.2% below entry),tiingo_short,False
2025,ADMA,20.6577,27116,-0.0828,-0.0700,True,2025-04-21,-0.0800,True,2025-04-21,-0.0700,True,2025-04-21,-0.0828,False,,-0.0828,False,,-0.0828,False,,ATR20=1.354 stop=17.950 (-13.1% below entry),tiingo_short,False
2025,PLTR,96.3364,34004,-0.0680,-0.0700,True,2025-04-21,-0.0680,False,,-0.0700,True,2025-04-21,-0.0700,True,2025-04-21,-0.0680,False,,-0.0680,False,,ATR20=7.190 stop=81.956 (-14.9% below entry),tiingo_short,False
2025,AXGN,16.9926,37972,-0.2169,-0.0700,True,2024-12-30,-0.0800,True,2025-01-03,-0.0700,True,2024-12-30,0.0434,True,2025-03-07,-0.0856,True,2025-01-03,-0.1070,True,2025-01-03,ATR20=0.727 stop=15.538 (-8.6% below entry),tiingo_short,False
2025,TGTX,38.1018,21941,-0.1395,-0.0700,True,2025-05-06,-0.0800,True,2025-05-06,0.0000,True,2025-05-05,-0.0851,True,2025-05-06,0.0000,True,2025-05-05,0.0000,True,2025-05-05,ATR20=2.663 stop=32.776 (-14.0% below entry),tiingo_short,False
2025,ADMA,24.5703,23591,-0.1778,-0.0749,True,2025-05-08,-0.0800,True,2025-05-08,-0.0749,True,2025-05-08,-0.1868,True,2025-05-09,-0.1393,True,2025-05-08,-0.1741,True,2025-05-08,ATR20=1.711 stop=21.148 (-13.9% below entry),tiingo_short,False
2025,LOAR,98.0004,27430,-0.1425,-0.0700,True,2025-05-13,-0.0800,True,2025-05-13,-0.0700,True,2025-05-13,-0.1539,True,2025-06-10,-0.1064,True,2025-05-13,-0.1330,True,2025-05-14,ATR20=5.212 stop=87.576 (-10.6% below entry),tiingo_short,False
2025,WAY,40.4371,37122,-0.0663,-0.0700,True,2025-05-14,-0.0663,False,,-0.0700,True,2025-05-14,-0.0700,True,2025-05-14,-0.0663,False,,-0.0663,False,,ATR20=1.836 stop=36.764 (-9.1% below entry),tiingo_short,False
2025,PLTR,123.7018,51883,0.0631,-0.0889,True,2025-05-06,-0.0889,True,2025-05-06,-0.0889,True,2025-05-06,-0.0889,True,2025-05-06,-0.1227,True,2025-05-06,0.0631,False,,ATR20=7.590 stop=108.522 (-12.3% below entry),tiingo_short,False
2025,HOOD,63.1950,36072,0.4356,0.4356,False,,0.4356,False,,0.4356,False,,0.4356,False,,0.4356,False,,0.4356,False,,ATR20=3.439 stop=56.318 (-10.9% below entry),tiingo_short,False
2025,UBER,90.2548,55375,-0.0025,-0.0700,True,2025-05-29,-0.0800,True,2025-05-29,-0.0700,True,2025-05-29,-0.0025,False,,-0.0713,True,2025-05-29,-0.0891,True,2025-06-03,ATR20=3.217 stop=83.821 (-7.1% below entry),tiingo_short,False
2025,ROAD,113.0535,45410,-0.0960,-0.0700,True,2025-07-21,-0.0800,True,2025-07-21,-0.0700,True,2025-07-21,-0.0960,False,,-0.0721,True,2025-07-21,-0.0901,True,2025-07-22,ATR20=4.075 stop=104.904 (-7.2% below entry),tiingo_short,False
2025,QUBT,17.3398,22797,-0.1817,-0.0700,True,2025-07-28,-0.0800,True,2025-07-28,-0.0700,True,2025-07-28,-0.1136,True,2025-07-29,-0.1835,True,2025-08-01,-0.1817,False,,ATR20=1.591 stop=14.158 (-18.4% below entry),tiingo_short,False
2025,RBLX,74.7578,39383,0.7057,0.7057,False,,0.7057,False,,0.7057,False,,0.7057,False,,0.7057,False,,0.7057,False,,ATR20=2.734 stop=69.290 (-7.3% below entry),tiingo_short,False
2025,TSSI,22.6519,50337,-0.1514,-0.0700,True,2025-06-09,-0.0800,True,2025-06-09,-0.0700,True,2025-06-09,-0.0700,True,2025-06-09,-0.1904,True,2025-06-13,0.0000,True,2025-07-10,ATR20=2.157 stop=18.338 (-19.0% below entry),tiingo_short,False
2025,SMR,30.9268,35722,0.1913,0.1913,False,,0.1913,False,,0.1721,True,2025-06-23,0.2724,True,2025-08-08,0.1913,False,,0.1913,False,,ATR20=1.928 stop=27.070 (-12.5% below entry),tiingo_short,False
2025,GEV,377.4220,50365,0.6185,0.6185,False,,0.6185,False,,0.6185,False,,0.6185,False,,0.6185,False,,0.6185,False,,ATR20=25.945 stop=325.532 (-13.7% below entry),tiingo_short,False
2025,VRT,133.9833,46297,-0.0753,-0.0768,True,2025-09-02,-0.0800,True,2025-09-02,-0.0768,True,2025-09-02,-0.0768,True,2025-09-02,-0.0793,True,2025-09-02,-0.0991,True,2025-09-02,ATR20=5.313 stop=123.357 (-7.9% below entry),tiingo_short,False
2025,HLI,198.8200,57159,-0.0047,-0.0047,False,,-0.0047,False,,-0.0047,False,,-0.0047,False,,-0.0371,True,2025-09-03,-0.0047,False,,ATR20=3.691 stop=191.439 (-3.7% below entry),tiingo_short,False
2025,ANET,141.4951,71039,-0.0224,-0.0224,False,,-0.0224,False,,-0.0224,False,,-0.0224,False,,-0.0224,False,,-0.0224,False,,ATR20=4.340 stop=132.815 (-6.1% below entry),tiingo_short,False
2025,OKLO,63.8587,43555,1.3841,-0.0700,True,2025-07-22,1.3841,False,,-0.0700,True,2025-07-22,1.3841,False,,0.0000,True,2025-08-20,0.0000,True,2025-08-20,ATR20=4.997 stop=53.865 (-15.7% below entry),tiingo_short,False
2025,VRT,164.7227,55543,0.0122,0.0122,False,,0.0122,False,,0.0122,False,,0.0122,False,,0.0122,False,,0.0122,False,,ATR20=7.547 stop=149.628 (-9.2% below entry),tiingo_short,False
2025,CRDO,92.2492,53915,0.4776,0.4776,False,,0.4776,False,,0.1149,True,2025-08-20,0.4065,True,2025-10-14,0.4776,False,,0.4776,False,,ATR20=5.216 stop=81.818 (-11.3% below entry),tiingo_short,False
2025,NTGR,33.1152,55619,-0.0986,-0.0700,True,2025-10-30,-0.0800,True,2025-10-30,-0.0700,True,2025-10-30,-0.1010,True,2025-11-04,-0.1068,True,2025-10-30,-0.0986,False,,ATR20=1.769 stop=29.578 (-10.7% below entry),tiingo_short,False
2025,AMSC,39.7680,52190,0.0138,-0.0700,True,2025-11-06,-0.0800,True,2025-11-06,0.1751,True,2025-08-20,0.3775,True,2025-10-22,0.0000,True,2025-11-06,0.0000,True,2025-11-06,ATR20=2.207 stop=35.353 (-11.1% below entry),tiingo_short,False
2025,RKLB,32.0253,48793,0.5973,-0.0767,True,2025-06-10,-0.0800,True,2025-06-10,-0.0767,True,2025-06-10,-0.0767,True,2025-06-10,-0.1303,True,2025-06-10,-0.1629,True,2025-06-12,ATR20=2.086 stop=27.853 (-13.0% below entry),tiingo_short,False
2025,SYM,71.6674,55658,-0.0792,-0.0700,True,2025-11-07,-0.0800,True,2025-11-07,-0.0700,True,2025-11-07,-0.0792,False,,-0.0792,False,,-0.0792,False,,ATR20=6.000 stop=59.668 (-16.7% below entry),tiingo_short,False
2025,TQQQ,104.6291,38107,-0.0468,-0.0468,False,,-0.0468,False,,-0.0468,False,,-0.0468,False,,-0.0468,False,,-0.0468,False,,ATR20=5.140 stop=94.348 (-9.8% below entry),tiingo_short,False
2025,APP,462.8461,68650,0.1437,0.1437,False,,0.1437,False,,0.2887,True,2025-10-06,0.2636,True,2025-11-12,0.1437,False,,0.1437,False,,ATR20=25.413 stop=412.021 (-11.0% below entry),tiingo_short,False
2025,VRT,180.3300,50156,-0.1443,-0.1127,True,2025-11-21,-0.1127,True,2025-11-21,-0.1127,True,2025-11-21,-0.1127,True,2025-11-21,-0.1415,True,2025-11-21,-0.1443,False,,ATR20=12.762 stop=154.805 (-14.2% below entry),tiingo_short,False
2025,CCJ,79.4756,71698,-0.0017,-0.0700,True,2025-09-02,-0.0017,False,,-0.0700,True,2025-09-02,0.0818,True,2025-11-13,-0.0724,True,2025-09-02,0.0000,True,2025-11-21,ATR20=2.877 stop=73.721 (-7.2% below entry),tiingo_short,False
2026,URBN,82.1836,61420,-0.1288,-0.0700,True,2025-12-26,-0.0800,True,2025-12-29,-0.0700,True,2025-12-26,-0.1288,False,,-0.0865,True,2025-12-30,-0.1082,True,2026-01-12,ATR20=3.555 stop=75.073 (-8.7% below entry),tiingo_short,False
2026,APP,678.2649,61277,-0.1099,-0.0700,True,2026-01-02,-0.0800,True,2026-01-02,-0.0700,True,2026-01-02,-0.0900,True,2026-01-06,-0.1129,True,2026-01-06,-0.1099,False,,ATR20=38.274 stop=601.717 (-11.3% below entry),tiingo_short,False
2026,AAPL,271.3409,78305,-0.0558,-0.0558,False,,-0.0558,False,,-0.0558,False,,-0.0150,True,2026-01-05,-0.0394,True,2026-01-07,-0.0528,True,2026-01-08,ATR20=5.341 stop=260.659 (-3.9% below entry),tiingo_short,False
2026,TSLA,478.8470,61898,-0.1154,-0.0700,True,2026-01-02,-0.0800,True,2026-01-02,-0.0700,True,2026-01-02,-0.0852,True,2026-01-02,-0.0699,True,2026-01-02,-0.0873,True,2026-01-02,ATR20=16.731 stop=445.386 (-7.0% below entry),tiingo_short,False
2026,APH,145.6200,61849,-0.0604,-0.0700,True,2026-02-04,-0.0800,True,2026-02-04,-0.0700,True,2026-02-04,-0.1073,True,2026-02-04,-0.0604,True,2026-02-04,-0.0755,True,2026-02-04,ATR20=4.400 stop=136.819 (-6.0% below entry),tiingo_short,False
2026,SEI,55.2073,72367,-0.0705,-0.0700,True,2026-01-14,-0.0800,True,2026-01-14,-0.0700,True,2026-01-14,-0.0700,True,2026-01-14,-0.1145,True,2026-02-04,-0.1431,True,2026-02-04,ATR20=3.161 stop=48.885 (-11.5% below entry),tiingo_short,False
