day,traded,skip_reason,entry_spot,settle_spot,gamma_regime,vix_regime,half,short_put_k_w5,short_call_k_w5,breach_w5,breach_depth_w5,entry_credit_w5_mid,pnl_w5_mid,entry_credit_w5_f25,pnl_w5_f25,entry_credit_w5_f50,pnl_w5_f50,entry_credit_w5_full,pnl_w5_full,short_put_k_w10,short_call_k_w10,breach_w10,breach_depth_w10,entry_credit_w10_mid,pnl_w10_mid,entry_credit_w10_f25,pnl_w10_f25,entry_credit_w10_f50,pnl_w10_f50,entry_credit_w10_full,pnl_w10_full,short_put_k_w20,short_call_k_w20,breach_w20,breach_depth_w20,entry_credit_w20_mid,pnl_w20_mid,entry_credit_w20_f25,pnl_w20_f25,entry_credit_w20_f50,pnl_w20_f50,entry_credit_w20_full,pnl_w20_full,short_put_k_w30,short_call_k_w30,breach_w30,breach_depth_w30,entry_credit_w30_mid,pnl_w30_mid,entry_credit_w30_f25,pnl_w30_f25,entry_credit_w30_f50,pnl_w30_f50,entry_credit_w30_full,pnl_w30_full,short_put_k_w50,short_call_k_w50,breach_w50,breach_depth_w50,entry_credit_w50_mid,pnl_w50_mid,entry_credit_w50_f25,pnl_w50_f25,entry_credit_w50_f50,pnl_w50_f50,entry_credit_w50_full,pnl_w50_full
2023-03-29,True,,4010.350755237347,4028.174999987676,neutral,contango,train,3995.0,4025.0,call,3.174999987675619,1.0,-217.49999876756192,0.975,-219.99999876756192,0.9500000000000002,-222.4999987675619,0.9,-227.49999876756192,3995.0,4025.0,call,3.174999987675619,1.475,-169.99999876756192,1.44375,-173.12499876756192,1.4125,-176.24999876756192,1.35,-182.49999876756192,3995.0,4025.0,call,3.174999987675619,1.85,-132.49999876756192,1.825,-134.99999876756192,1.8000000000000005,-137.4999987675619,1.75,-142.49999876756192,3995.0,4025.0,call,3.174999987675619,1.95,-122.49999876756192,1.925,-124.99999876756192,1.9,-127.4999987675619,1.85,-132.49999876756192,3995.0,4025.0,call,3.174999987675619,2.1,-107.4999987675619,2.075,-109.99999876756196,2.0500000000000003,-112.49999876756188,2.0000000000000004,-117.49999876756188
2023-03-30,True,,4037.549923297332,4050.7249999873216,positive,contango,train,4020.0,4050.0,call,0.7249999873215529,0.9249999999999998,20.00000126784469,0.8812499999999999,15.625001267844697,0.8375000000000001,11.250001267844723,0.7500000000000001,2.5000012678447203,4020.0,4050.0,call,0.7249999873215529,1.35,62.50000126784472,1.3125,58.75000126784471,1.275,55.0000012678447,1.2,47.5000012678447,4020.0,4050.0,call,0.7249999873215529,1.6999999999999995,97.50000126784468,1.6624999999999996,93.75000126784468,1.6250000000000002,90.00000126784474,1.5500000000000005,82.50000126784474,4020.0,4050.0,call,0.7249999873215529,1.85,112.5000012678447,1.8125,108.75000126784468,1.775,105.00000126784472,1.7,97.50000126784472,4020.0,4050.0,call,0.7249999873215529,2.0,127.50000126784472,1.9625,123.7500012678447,1.925,120.0000012678447,1.85,112.50000126784472
2023-03-31,True,,4086.074747807524,4106.724999987199,positive,contango,train,4070.0,4105.0,call,1.724999987199226,1.0750000000000002,-64.99999871992257,1.0437500000000004,-68.12499871992254,1.0125,-71.24999871992259,0.95,-77.49999871992259,4070.0,4105.0,call,1.724999987199226,1.5500000000000005,-17.49999871992256,1.5250000000000004,-19.99999871992255,1.5,-22.499998719922587,1.45,-27.49999871992259,4070.0,4105.0,call,1.724999987199226,1.95,22.50000128007743,1.9250000000000005,20.00000128007744,1.9,17.500001280077427,1.85,12.500001280077422,4070.0,4105.0,call,1.724999987199226,2.1,37.50000128007738,2.0750000000000006,35.00000128007748,2.0500000000000003,32.50000128007744,2.0,27.500001280077413,4070.0,4105.0,call,1.724999987199226,2.2500000000000004,52.500001280077456,2.225,50.00000128007742,2.2,47.500001280077385,2.1500000000000004,42.50000128007745
2023-04-03,True,,4106.737217831147,4123.974999987476,positive,contango,train,4090.0,4120.0,call,3.974999987475712,0.8999999999999999,-307.4999987475712,0.8749999999999999,-309.9999987475712,0.8499999999999999,-312.4999987475713,0.8,-317.4999987475712,4090.0,4120.0,call,3.974999987475712,1.275,-269.9999987475712,1.24375,-273.1249987475712,1.2125,-276.2499987475712,1.15,-282.4999987475712,4090.0,4120.0,call,3.974999987475712,1.55,-242.49999874757123,1.525,-244.99999874757123,1.5,-247.49999874757123,1.45,-252.4999987475712,4090.0,4120.0,call,3.974999987475712,1.6,-237.49999874757123,1.575,-239.9999987475712,1.55,-242.49999874757123,1.5,-247.49999874757123,4090.0,4120.0,call,3.974999987475712,1.7000000000000002,-227.4999987475712,1.6749999999999998,-229.99999874757123,1.65,-232.49999874757123,1.6,-237.49999874757123
2023-04-04,True,,4101.149290581606,4100.624999987464,positive,contango,train,4085.0,4115.0,none,0.0,0.925,92.5,0.8937499999999999,89.375,0.8625,86.25,0.8000000000000002,80.00000000000001,4085.0,4115.0,none,0.0,1.4249999999999998,142.49999999999997,1.38125,138.125,1.3375,133.75,1.25,125.0,4085.0,4115.0,none,0.0,1.85,185.0,1.8125,181.25,1.775,177.5,1.7000000000000002,170.00000000000003,4085.0,4115.0,none,0.0,1.975,197.5,1.94375,194.375,1.9125,191.25,1.85,185.0,4085.0,4115.0,none,0.0,2.0500000000000003,205.00000000000003,2.0125,201.25000000000003,1.975,197.5,1.9,190.0
2023-04-05,True,,4084.950109516952,4090.174999987357,neutral,contango,train,4070.0,4100.0,none,0.0,0.7,70.0,0.6750000000000002,67.50000000000001,0.6500000000000001,65.00000000000001,0.6,60.0,4070.0,4100.0,none,0.0,1.05,105.0,1.025,102.5,1.0,100.0,0.95,95.0,4070.0,4100.0,none,0.0,1.3,130.0,1.275,127.5,1.2500000000000002,125.00000000000004,1.1999999999999995,119.99999999999996,4070.0,4100.0,none,0.0,1.4,140.0,1.375,137.5,1.35,135.0,1.3,130.0,4070.0,4100.0,none,0.0,1.4500000000000002,145.00000000000003,1.425,142.5,1.4,140.0,1.35,135.0
2023-04-06,True,,4101.599839485593,4104.824999987562,neutral,contango,train,4085.0,4115.0,none,0.0,0.775,77.5,0.7437500000000001,74.37500000000001,0.7124999999999999,71.24999999999999,0.6499999999999999,64.99999999999999,4085.0,4115.0,none,0.0,1.1749999999999998,117.5,1.1437499999999998,114.375,1.1124999999999998,111.25,1.05,105.0,4085.0,4115.0,none,0.0,1.45,145.0,1.4124999999999996,141.24999999999997,1.375,137.5,1.3000000000000005,130.00000000000003,4085.0,4115.0,none,0.0,1.575,157.5,1.53125,153.125,1.4875,148.75,1.4,140.0,4085.0,4115.0,none,0.0,1.65,165.0,1.6124999999999998,161.24999999999997,1.575,157.5,1.5,150.0
2023-04-10,True,,4098.97496859214,4108.974999987248,positive,contango,train,4085.0,4110.0,none,0.0,1.0499999999999998,105.0,1.0124999999999995,101.24999999999996,0.975,97.5,0.9,90.0,4085.0,4110.0,none,0.0,1.55,155.0,1.5125000000000002,151.25000000000003,1.475,147.5,1.4,140.0,4085.0,4110.0,none,0.0,1.975,197.5,1.94375,194.375,1.9125,191.25,1.85,185.0,4085.0,4110.0,none,0.0,2.125,212.5,2.09375,209.375,2.0625,206.25,2.0,200.0,4085.0,4110.0,none,0.0,2.225,222.5,2.19375,219.375,2.1625,216.25,2.1,210.0
2023-04-11,True,,4121.05007969757,4108.849999987362,positive,contango,train,4110.0,4130.0,put,1.1500000126379746,1.0,-15.000001263797468,0.9625,-18.750001263797465,0.925,-22.50000126379745,0.8500000000000001,-30.00000126379745,4110.0,4130.0,put,1.1500000126379746,1.35,19.99999873620255,1.325,17.49999873620254,1.3,14.999998736202546,1.25,9.999998736202542,4110.0,4130.0,put,1.1500000126379746,1.6,44.99999873620255,1.575,42.499998736202535,1.5500000000000005,39.99999873620257,1.5,34.99999873620254,4110.0,4130.0,put,1.1500000126379746,1.65,49.99999873620256,1.625,47.49999873620254,1.6,44.99999873620255,1.5499999999999998,39.99999873620253,4110.0,4130.0,put,1.1500000126379746,1.725,57.49999873620255,1.69375,54.37499873620255,1.6625,51.24999873620255,1.6,44.99999873620253
2023-04-12,True,,4121.1748062836805,4092.324999987634,positive,contango,train,4100.0,4140.0,put,5.0,0.9000000000000001,-410.0,0.8375000000000002,-416.25,0.7750000000000001,-422.5,0.65,-435.0,4100.0,4140.0,put,7.675000012366127,1.425,-625.0000012366127,1.3687500000000004,-630.6250012366127,1.3125,-636.2500012366127,1.1999999999999995,-647.5000012366128,4100.0,4140.0,put,7.675000012366127,2.0,-567.5000012366127,1.9500000000000004,-572.5000012366127,1.9,-577.5000012366127,1.7999999999999998,-587.5000012366127,4100.0,4140.0,put,7.675000012366127,2.25,-542.5000012366127,2.2,-547.5000012366128,2.1500000000000004,-552.5000012366127,2.05,-562.5000012366127,4100.0,4140.0,put,7.675000012366127,2.575,-510.0000012366127,2.53125,-514.3750012366127,2.4875,-518.7500012366127,2.4000000000000004,-527.5000012366127
