cik,ticker,source,entity_name
1603480,CIK1603480,fundamentals,
1601280,CIK1601280,fundamentals,
1595140,CIK1595140,fundamentals,
1594420,CIK1594420,fundamentals,
1592480,CIK1592480,fundamentals,
1592000,CIK1592000,fundamentals,
1586300,CIK1586300,fundamentals,
1581720,CIK1581720,fundamentals,
1581220,CIK1581220,fundamentals,
1575420,CIK1575420,fundamentals,
1575360,CIK1575360,fundamentals,
1574540,CIK1574540,fundamentals,
1574460,CIK1574460,fundamentals,
1574300,CIK1574300,fundamentals,
1641640,CIK1641640,fundamentals,
1637880,CIK1637880,fundamentals,
1636760,CIK1636760,fundamentals,
1636300,CIK1636300,fundamentals,
1635840,CIK1635840,fundamentals,
1630940,CIK1630940,fundamentals,
1624140,CIK1624140,fundamentals,
1623360,CIK1623360,fundamentals,
1622620,CIK1622620,fundamentals,
1620280,CIK1620280,fundamentals,
1615780,CIK1615780,fundamentals,
1614540,CIK1614540,fundamentals,
1609880,CIK1609880,fundamentals,
1606700,CIK1606700,fundamentals,
1606440,CIK1606440,fundamentals,
1606180,CIK1606180,fundamentals,
1672900,CIK1672900,fundamentals,
1669600,CIK1669600,fundamentals,
1669400,CIK1669400,fundamentals,
1667840,CIK1667840,fundamentals,
1665840,CIK1665840,fundamentals,
1664780,CIK1664780,fundamentals,
1664740,CIK1664740,fundamentals,
1664040,CIK1664040,fundamentals,
1661920,CIK1661920,fundamentals,
1661460,CIK1661460,fundamentals,
1658880,CIK1658880,fundamentals,
1658520,CIK1658520,fundamentals,
1655780,CIK1655780,fundamentals,
1655020,CIK1655020,fundamentals,
1645260,CIK1645260,fundamentals,
1644440,CIK1644440,fundamentals,
1761940,CIK1761940,fundamentals,
1761540,CIK1761540,fundamentals,
1756640,CIK1756640,fundamentals,
1754820,CIK1754820,fundamentals,
1751700,CIK1751700,fundamentals,
1745020,CIK1745020,fundamentals,
1723580,CIK1723580,fundamentals,
1704760,CIK1704760,fundamentals,
1701040,CIK1701040,fundamentals,
1697080,CIK1697080,fundamentals,
1692780,CIK1692780,fundamentals,
1686400,CIK1686400,fundamentals,
1681400,CIK1681400,fundamentals,
1676580,CIK1676580,fundamentals,
1675820,CIK1675820,fundamentals,
1674760,CIK1674760,fundamentals,
1825480,CIK1825480,fundamentals,
1823340,CIK1823340,fundamentals,
1823200,CIK1823200,fundamentals,
1823000,CIK1823000,fundamentals,
1821160,CIK1821160,fundamentals,
1820160,CIK1820160,fundamentals,
1818880,CIK1818880,fundamentals,
1817640,CIK1817640,fundamentals,
1814140,CIK1814140,fundamentals,
1810140,CIK1810140,fundamentals,
1796160,CIK1796160,fundamentals,
1789760,CIK1789760,fundamentals,
1787640,CIK1787640,fundamentals,
1784700,CIK1784700,fundamentals,
1783400,CIK1783400,fundamentals,
1779020,CIK1779020,fundamentals,
1844840,CIK1844840,fundamentals,
1844280,CIK1844280,fundamentals,
1843100,CIK1843100,fundamentals,
1841800,CIK1841800,fundamentals,
1841420,CIK1841420,fundamentals,
1841080,CIK1841080,fundamentals,
1840920,CIK1840920,fundamentals,
1839360,CIK1839360,fundamentals,
1838000,CIK1838000,fundamentals,
1837160,CIK1837160,fundamentals,
1836100,CIK1836100,fundamentals,
1835800,CIK1835800,fundamentals,
1832300,CIK1832300,fundamentals,
1830180,CIK1830180,fundamentals,
1827980,CIK1827980,fundamentals,
1825720,CIK1825720,fundamentals,
1900520,CIK1900520,fundamentals,
1892480,CIK1892480,fundamentals,
1874440,CIK1874440,fundamentals,
1865120,CIK1865120,fundamentals,
1863460,CIK1863460,fundamentals,
1858180,CIK1858180,fundamentals,
1853920,CIK1853920,fundamentals,
1853580,CIK1853580,fundamentals,
1852940,CIK1852940,fundamentals,
1851860,CIK1851860,fundamentals,
1849580,CIK1849580,fundamentals,
1849280,CIK1849280,fundamentals,
1848020,CIK1848020,fundamentals,
1848000,CIK1848000,fundamentals,
1847440,CIK1847440,fundamentals,
1845580,CIK1845580,fundamentals,
20520,CIK20520,fundamentals,
2050260,CIK2050260,fundamentals,
2044820,CIK2044820,fundamentals,
2043020,CIK2043020,fundamentals,
2032260,CIK2032260,fundamentals,
2032020,CIK2032020,fundamentals,
2016420,CIK2016420,fundamentals,
1988280,CIK1988280,fundamentals,
1976900,CIK1976900,fundamentals,
1954360,CIK1954360,fundamentals,
1923840,CIK1923840,fundamentals,
1918080,CIK1918080,fundamentals,
1915380,CIK1915380,fundamentals,
1912540,CIK1912540,fundamentals,
1911500,CIK1911500,fundamentals,
1902700,CIK1902700,fundamentals,
53320,CIK53320,fundamentals,
46640,CIK46640,fundamentals,
43300,CIK43300,fundamentals,
357020,CIK357020,fundamentals,
356080,CIK356080,fundamentals,
354260,CIK354260,fundamentals,
353020,CIK353020,fundamentals,
320340,CIK320340,fundamentals,
319240,CIK319240,fundamentals,
319200,CIK319200,fundamentals,
317900,CIK317900,fundamentals,
317340,CIK317340,fundamentals,
316300,CIK316300,fundamentals,
25600,CIK25600,fundamentals,
2079320,CIK2079320,fundamentals,
20740,CIK20740,fundamentals,
75340,CIK75340,fundamentals,
749660,CIK749660,fundamentals,
737300,CIK737300,fundamentals,
73020,CIK73020,fundamentals,
730000,CIK730000,fundamentals,
727920,CIK727920,fundamentals,
72020,CIK72020,fundamentals,
714980,CIK714980,fundamentals,
71180,CIK71180,fundamentals,
703360,CIK703360,fundamentals,
66600,CIK66600,fundamentals,
65100,CIK65100,fundamentals,
59860,CIK59860,fundamentals,
59440,CIK59440,fundamentals,
54480,CIK54480,fundamentals,
53500,CIK53500,fundamentals,
814920,CIK814920,fundamentals,
813920,CIK813920,fundamentals,
813640,CIK813640,fundamentals,
812900,CIK812900,fundamentals,
811240,CIK811240,fundamentals,
81100,CIK81100,fundamentals,
